Epoch: 0| It: 0| Loss: 8.228e-01| physLoss: 1.049e-01 | lINITIAL: 3.266e-01 | wLoss: 1.807e-01 | inLoss: 1.543e-01 | outLoss: 5.616e-02 |Time: 0.00s | rTime: 3.893e-04h | LR: 5.000e-03
Epoch: 10| It: 0| Loss: 1.871e-01| physLoss: 3.630e-02 | lINITIAL: 9.229e-02 | wLoss: 4.965e-02 | inLoss: 6.766e-03 | outLoss: 2.129e-03 |Time: 0.00s | rTime: 1.569e-03h | LR: 5.000e-03
Epoch: 20| It: 0| Loss: 7.611e-02| physLoss: 5.664e-03 | lINITIAL: 4.071e-02 | wLoss: 2.018e-02 | inLoss: 8.673e-03 | outLoss: 8.900e-04 |Time: 0.00s | rTime: 2.655e-03h | LR: 5.000e-03
Epoch: 30| It: 0| Loss: 6.867e-02| physLoss: 6.538e-03 | lINITIAL: 3.345e-02 | wLoss: 1.633e-02 | inLoss: 7.317e-03 | outLoss: 5.030e-03 |Time: 0.00s | rTime: 3.656e-03h | LR: 5.000e-03
Epoch: 40| It: 0| Loss: 8.218e-02| physLoss: 2.680e-03 | lINITIAL: 4.931e-02 | wLoss: 8.334e-03 | inLoss: 6.718e-03 | outLoss: 1.514e-02 |Time: 0.00s | rTime: 4.637e-03h | LR: 5.000e-03
Epoch: 50| It: 0| Loss: 4.750e-02| physLoss: 1.903e-03 | lINITIAL: 2.353e-02 | wLoss: 1.837e-02 | inLoss: 2.607e-03 | outLoss: 1.090e-03 |Time: 0.00s | rTime: 5.650e-03h | LR: 5.000e-03
Epoch: 60| It: 0| Loss: 4.098e-02| physLoss: 6.059e-03 | lINITIAL: 1.564e-03 | wLoss: 1.175e-02 | inLoss: 1.857e-02 | outLoss: 3.042e-03 |Time: 0.00s | rTime: 6.632e-03h | LR: 5.000e-03
Epoch: 70| It: 0| Loss: 4.943e-02| physLoss: 6.489e-03 | lINITIAL: 1.168e-02 | wLoss: 1.803e-02 | inLoss: 6.689e-03 | outLoss: 6.542e-03 |Time: 0.00s | rTime: 7.624e-03h | LR: 5.000e-03
Epoch: 80| It: 0| Loss: 4.418e-02| physLoss: 7.913e-03 | lINITIAL: 9.662e-03 | wLoss: 1.491e-02 | inLoss: 4.942e-03 | outLoss: 6.756e-03 |Time: 0.00s | rTime: 8.830e-03h | LR: 5.000e-03
Epoch: 90| It: 0| Loss: 4.042e-02| physLoss: 9.379e-03 | lINITIAL: 6.882e-03 | wLoss: 7.977e-03 | inLoss: 1.146e-02 | outLoss: 4.724e-03 |Time: 0.00s | rTime: 9.790e-03h | LR: 5.000e-03
Epoch: 100| It: 0| Loss: 2.617e-02| physLoss: 3.904e-03 | lINITIAL: 4.989e-03 | wLoss: 1.344e-02 | inLoss: 3.430e-03 | outLoss: 4.108e-04 |Time: 0.00s | rTime: 1.073e-02h | LR: 5.000e-03
Epoch: 110| It: 0| Loss: 2.673e-02| physLoss: 1.881e-03 | lINITIAL: 4.813e-03 | wLoss: 1.445e-02 | inLoss: 3.842e-03 | outLoss: 1.741e-03 |Time: 0.00s | rTime: 1.176e-02h | LR: 5.000e-03
Epoch: 120| It: 0| Loss: 3.372e-02| physLoss: 3.771e-03 | lINITIAL: 7.986e-03 | wLoss: 9.593e-03 | inLoss: 1.088e-02 | outLoss: 1.484e-03 |Time: 0.00s | rTime: 1.269e-02h | LR: 5.000e-03
Epoch: 130| It: 0| Loss: 3.431e-02| physLoss: 4.382e-03 | lINITIAL: 8.608e-03 | wLoss: 1.314e-02 | inLoss: 5.943e-03 | outLoss: 2.229e-03 |Time: 0.00s | rTime: 1.357e-02h | LR: 5.000e-03
Epoch: 140| It: 0| Loss: 2.979e-02| physLoss: 2.496e-03 | lINITIAL: 5.207e-03 | wLoss: 1.421e-02 | inLoss: 4.650e-03 | outLoss: 3.228e-03 |Time: 0.00s | rTime: 1.464e-02h | LR: 5.000e-03
Epoch: 150| It: 0| Loss: 2.813e-02| physLoss: 1.651e-03 | lINITIAL: 5.961e-03 | wLoss: 9.449e-03 | inLoss: 7.230e-03 | outLoss: 3.843e-03 |Time: 0.00s | rTime: 1.558e-02h | LR: 5.000e-03
Epoch: 160| It: 0| Loss: 2.666e-02| physLoss: 2.852e-03 | lINITIAL: 5.198e-03 | wLoss: 1.258e-02 | inLoss: 3.993e-03 | outLoss: 2.042e-03 |Time: 0.00s | rTime: 1.649e-02h | LR: 5.000e-03
Epoch: 170| It: 0| Loss: 2.690e-02| physLoss: 5.061e-03 | lINITIAL: 5.306e-03 | wLoss: 1.026e-02 | inLoss: 5.011e-03 | outLoss: 1.266e-03 |Time: 0.00s | rTime: 1.739e-02h | LR: 5.000e-03
Epoch: 180| It: 0| Loss: 2.898e-02| physLoss: 5.315e-03 | lINITIAL: 7.113e-03 | wLoss: 1.022e-02 | inLoss: 5.629e-03 | outLoss: 7.058e-04 |Time: 0.00s | rTime: 1.843e-02h | LR: 5.000e-03
Epoch: 190| It: 0| Loss: 2.604e-02| physLoss: 3.365e-03 | lINITIAL: 5.426e-03 | wLoss: 1.250e-02 | inLoss: 4.433e-03 | outLoss: 3.187e-04 |Time: 0.00s | rTime: 1.938e-02h | LR: 5.000e-03
